rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
758,9384,irren,"","",irre,irrst,irrt,irrte,geirrt,irrte,irr,irrt,haben
762,9320,verlieben,"","",verliebe,verliebst,verliebt,verliebte,verliebt,verliebte,verlieb,verliebt,haben
763,9315,beenden,"","",beende,beendest,beendet,beendete,beendet,beendete,beende,beendet,haben
764,9305,verheiraten,"","",verheirate,verheiratest,verheiratet,verheiratete,verheiratet,verheiratete,verheirat,verheiratet,haben
768,9271,erhalten,"","",erhalte,"erhältst","erhält",erhielt,erhalten,erhielte,erhalt,erhaltet,haben
770,9214,kennenlernen,"","","lerne kennen","lernst kennen","lernt kennen","lernte kennen",kennengelernt,"lernte kennen","lerne kennen","lernt kennen",haben
771,9197,besuchen,"","",besuche,besuchst,besucht,besuchte,besucht,besuchte,besuch,besucht,haben
774,9183,dienen,"","",diene,dienst,dient,diente,gedient,diente,diene,dient,haben
778,9130,verfolgen,"","",verfolge,verfolgst,verfolgt,verfolgte,verfolgt,verfolgte,verfolge,verfolgt,haben
779,9100,wundern,"","",wundere,wunderst,wundert,wunderte,gewundert,wunderte,wunder,wundert,haben
780,9081,weisen,"","",weise,weist,weist,wies,gewiesen,wiese,weis,weist,haben
781,9046,verraten,"","",verrate,"verrätst","verrät",verriet,verraten,verriete,verrate,verratet,haben
782,9018,"zählen","","","zähle","zählst","zählt","zählte","gezählt","zählte","zähle","zählt",haben
784,8997,rennen,"",X,renne,rennst,rennt,rannte,gerannt,rennte,renn,rennt,sein
786,8960,riechen,"","",rieche,riechst,riecht,roch,gerochen,"röche",rieche,riecht,haben
789,8935,verbringen,"","",verbringe,verbringst,verbringt,verbrachte,verbracht,"verbrächte",verbringe,verbringt,haben
793,8886,bestehen,"","",bestehe,bestehst,besteht,bestand,bestanden,"bestände",besteh,besteht,haben
795,8859,treten,"","",trete,trittst,tritt,trat,getreten,"träte",tritt,tretet,haben
798,8847,verhaften,"","",verhafte,verhaftest,verhaftet,verhaftete,verhaftet,verhaftete,verhafte,verhaftet,haben
799,8789,"zurückkommen",X,"","komme zurück","kommst zurück","kommt zurück","kam zurück","zurückgekommen","käme zurück","komm zurück","kommt zurück",sein
800,8783,erlauben,"","",erlaube,erlaubst,erlaubt,erlaubte,erlaubt,erlaubte,erlaube,erlaubt,haben
806,8648,schulden,"","",schulde,schuldest,schuldet,schuldete,geschuldet,schuldete,schuld,schuldet,haben
808,8636,meistern,"","",meistere,meisterst,meistert,meisterte,gemeistert,meisterte,meistere,meistert,haben
809,8636,besitzen,"","",besitze,besitzt,besitzt,"besaß",besessen,"besäße",besitze,besitzt,haben
811,8610,"nötigen","","","nötige","nötigst","nötigt","nötigte","genötigt","nötigte","nötige","nötigt",haben
822,8481,behandeln,"","",behandele,behandelst,behandelt,behandelte,behandelt,behandelte,behandele,behandelt,haben
825,8455,"spüren","","","spüre","spürst","spürt","spürte","gespürt","spürte","spüre","spürt",haben
826,8442,handeln,"","",handle,handelst,handelt,handelte,gehandelt,handelte,handle,handelt,haben
829,8431,teilen,"","",teile,teilst,teilt,teilte,geteilt,teilte,teile,teilt,haben
836,8369,bieten,"","",biete,bietest,bietet,bot,geboten,"böte",biete,bietet,haben
838,8321,"überraschen","","","überrasche","überraschst","überrascht","überraschte","überrascht","überraschte","überrasche","überrascht",haben
839,8318,leiden,"","",leide,leidest,leidet,litt,gelitten,litte,leide,leidet,haben
842,8288,"überprüfen","","","überprüfe","überprüfst","überprüft","überprüfte","überprüft","überprüfte","überprüfe","überprüft",haben
844,8262,atmen,"","",atme,atmest,atmet,atmete,geatmet,atmete,atme,atmet,haben
850,8180,"wählen","","","wähle","wählst","wählt","wählte","gewählt","wählte","wähle","wählt",haben
862,8004,"überlegen","","","überlege","überlegst","überlegt","überlegte","überlegt","überlegte","überlege","überlegt",haben
866,7952,"rücken","","","rücke","rückst","rückt","rückte","gerückt","rückte","rücke","rückt",haben
869,7925,zwingen,"","",zwinge,zwingst,zwingt,zwang,gezwungen,"zwänge",zwinge,zwingt,haben
874,7862,jagen,"","",jage,jagst,jagt,jagte,gejagt,jagte,jag,jagt,haben
